mingcheng,neirong,pingfen,renshu
猎鹿人 The Deer Hunter,导演: 迈克尔·西米诺 主演: 罗伯特·德尼罗 / 约翰·凯泽尔 / 约翰·萨维奇 类型: 剧情 / 战争 制片国家/地区: 美国 年份: 1978,8.4,(32592人评价)
,,,
,,,
,,,
,,,
小城之春,导演: 费穆 主演: 李纬 / 韦伟 / 石羽 类型: 剧情 / 爱情 制片国家/地区: 中国大陆 年份: 1948,8.6,(44856人评价)
,,,
,,,
,,,
,,,
最卑贱的人 Der letzte Mann,导演: F·W·茂瑙 主演: 埃米尔·雅宁斯 / 梅丽· 戴尔沙夫特 / Max Hiller 类型: 剧情 制片国家/地区: 德国 年份: 1924,8.7,(5819人评价)
,,,
乱,导演: 黑泽明 主演: 仲代达矢 / 寺尾聪 / 根津甚八 类型: 剧情 / 动作 制片国家/地区: 日本/法国 年份: 1985,8.9,(72525人评价)
漩涡之外 Out of the Past,导演: 雅克·特纳 主演: 罗伯特·米彻姆 / 简·格里尔 / 柯克·道格拉斯 类型: 剧情 / 黑色电影 / 惊悚 制片国家/地区: 美国 年份: 1947,8.2,(3483人评价)
大独裁者 The Great Dictator,导演: 查理·卓别林 主演: 查理·卓别林 / 宝莲·高黛 / 杰克·奥克 类型: 喜剧 / 剧情 / 战争 制片国家/地区: 美国 年份: 1940,9.2,(65283人评价)
血色将至 There Will Be Blood,导演: 保罗·托马斯·安德森 主演: 丹尼尔·戴-刘易斯 / 巴里·德尔·舍曼 / 保罗·F·汤普金斯 类型: 剧情 制片国家/地区: 美国 年份: 2007,8.4,(64565人评价)
黄金时代 The Best Years of Our Lives,导演: 威廉·惠勒 主演: 玛娜·洛伊 / 弗雷德里克·马奇 / 达纳·安德鲁斯 类型: 剧情 / 爱情 / 战争 制片国家/地区: 美国 年份: 1946,8.2,(4785人评价)
夜与雾 Nuit et brouillard,导演: 阿伦·雷乃 主演: 米歇尔·布凯 类型: 纪录片 / 短片 / 历史 / 战争 制片国家/地区: 法国 年份: 1956,9.2,(14366人评价)
,,,
,,,
风烛泪 Umberto D.,导演: 维托里奥·德西卡 主演: 卡洛·巴蒂斯蒂 / 玛丽亚-皮娅·卡西利奥 / 丽娜·甄纳里 类型: 剧情 制片国家/地区: 意大利 年份: 1952,8.6,(5338人评价)
,,,
,,,
蓬门今始为君开 The Quiet Man,导演: 约翰·福特 主演: 约翰·韦恩 / 玛琳·奥哈拉 类型: 剧情 / 喜剧 / 爱情 制片国家/地区: 美国 年份: 1953,7.4,(1046人评价)
红河 Red River,导演: 霍华德·霍克斯 / 阿瑟·罗森 主演: 蒙哥马利·克利夫特 / 约翰·韦恩 / 沃尔特·布伦南 类型: 西部 / 动作 / 冒险 制片国家/地区: 美国 年份: 1948,8.2,(3153人评价)
战火 Paisà,导演: 罗伯托·罗西里尼 主演: 卡米拉萨齐奥 / 罗伯托范隆 / Benjamin Emanuel 类型: 剧情 / 战争 制片国家/地区: 意大利 年份: 1946,8.2,(2796人评价)
小孩与鹰 Kes,导演: 肯·洛奇 主演: 大卫·布拉德利 / Freddie Fletcher / 琳内·佩里 类型: 剧情 / 儿童 制片国家/地区: 英国 年份: 1969,8.6,(7834人评价)
第三类接触 Close Encounters of the Third Kind,导演: 史蒂文·斯皮尔伯格 主演: 理查德·德莱福斯 / 弗朗索瓦·特吕弗 / 特瑞·加尔 类型: 剧情 / 科幻 制片国家/地区: 美国 年份: 1977,7.2,(18604人评价)
白日美人 Belle de jour,导演: 路易斯·布努埃尔 主演: 凯瑟琳·德纳芙 / 让·索雷尔 / 米歇尔·皮科利 类型: 剧情 / 情色 制片国家/地区: 法国/意大利 年份: 1967,7.6,(29187人评价)
,,,
,,,
群鸟 The Birds,导演: 阿尔弗雷德·希区柯克 主演: 罗德·泰勒 / 杰西卡·坦迪 / 苏珊娜·普莱舍特 类型: 悬疑 / 惊悚 / 灾难 制片国家/地区: 美国 年份: 1963,8.1,(58149人评价)
北方的纳努克 Nanook of the North,导演: 罗伯特·弗拉哈迪 主演: Nanook(Allakariallak) / Nyla / Cunayou 类型: 纪录片 制片国家/地区: 美国/法国 年份: 1922,8.5,(14448人评价)
卡比利亚之夜 Le notti di Cabiria,导演: 费德里科·费里尼 主演: 朱丽叶塔·马西纳 / 弗朗索瓦·佩里埃 / 弗兰卡·马尔齐 类型: 剧情 制片国家/地区: 意大利/法国 年份: 1957,9.1,(31045人评价)
,,,
,,,
,,,
隐藏摄像机 Caché,导演: 迈克尔·哈内克 主演: 丹尼尔·奥特伊 / 朱丽叶·比诺什 / Maurice Bénichou 类型: 剧情 / 悬疑 / 惊悚 制片国家/地区: 法国/奥地利/德国/意大利/美国 年份: 2005,7.6,(12093人评价)
,,,
千与千寻 千と千尋の神隠し,导演: 宫崎骏 主演: 柊瑠美 / 入野自由 / 夏木真理 类型: 剧情 / 动画 / 奇幻 制片国家/地区: 日本 年份: 2001,9.4,(1965647人评价)
细细的红线 The Thin Red Line,导演: 泰伦斯·马力克 主演: 西恩·潘 / 伊莱亚斯·科泰斯 / 吉姆·卡维泽 类型: 剧情 / 战争 制片国家/地区: 美国/澳大利亚 年份: 1998,7.8,(28997人评价)
,,,
卡里加里博士的小屋 Das Cabinet des Dr. Caligari,导演: 罗伯特·维内 主演: 维尔纳·克劳斯 / 康拉德·韦特 / 弗里德里希·费赫尔 类型: 犯罪 / 悬疑 / 恐怖 制片国家/地区: 德国 年份: 1920,8.9,(21173人评价)
火树银花 Meet Me in St. Louis,导演: 文森特·明奈利 主演: 朱迪·加兰 / 玛格丽特·奥布赖恩 / 玛丽·阿斯特 类型: 家庭 / 歌舞 / 爱情 制片国家/地区: 美国 年份: 1944,7.4,(1060人评价)
辛德勒的名单 Schindler's List,导演: 史蒂文·斯皮尔伯格 主演: 连姆·尼森 / 本·金斯利 / 拉尔夫·费因斯 类型: 剧情 / 历史 / 战争 制片国家/地区: 美国 年份: 1993,9.5,(963826人评价)
仁心与冠冕 Kind Hearts and Coronets,导演: 罗伯特·哈默 主演: 亚历克·吉尼斯 / 瓦莱莉娅·霍布森 / 丹尼斯·普莱斯 类型: 喜剧 / 犯罪 制片国家/地区: 英国 年份: 1949,8.4,(5863人评价)
,,,
冰血暴 Fargo,导演: 乔尔·科恩 主演: 威廉姆·H·梅西 / 史蒂夫·布西密 / 彼得·斯特曼 类型: 犯罪 / 剧情 / 惊悚 制片国家/地区: 美国/英国 年份: 1996,8.0,(77170人评价)
伊凡雷帝2 Иван Грозный 2: Боярский заговор,导演: 谢尔盖·爱森斯坦 主演: 尼古拉·切尔卡索夫 / 帕维尔·卡道奇尼科夫 / 弗谢沃罗德·普多夫金 类型: 传记 / 历史 制片国家/地区: 苏联 年份: 1958,8.2,(1137人评价)
,,,
,,,
群众 The Crowd,导演: 金·维多 主演: 埃莉诺·博德曼 / 詹姆斯·默里 / 伯特·罗奇 类型: 剧情 / 爱情 制片国家/地区: 美国 年份: 1928,8.4,(1758人评价)
乡村牧师日记 Journal d'un curé de campagne,导演: 罗伯特·布列松 主演: 克罗德·莱杜 / Jean Riveyre / Adrien Borel 类型: 剧情 / 悬疑 制片国家/地区: 法国 年份: 1951,8.2,(7500人评价)
天使之翼 Only Angels Have Wings,导演: 霍华德·霍克斯 主演: 加里·格兰特 / 琪恩·亚瑟 / 理查德·巴塞尔梅斯 类型: 剧情 / 冒险 / 爱情 制片国家/地区: 美国 年份: 1939,7.6,(841人评价)
夺宝奇兵 Raiders of the Lost Ark,导演: 史蒂文·斯皮尔伯格 主演: 哈里森·福特 / 凯伦·阿兰 / 保罗·弗里曼 类型: 动作 / 冒险 制片国家/地区: 美国/英国 年份: 1981,7.9,(80993人评价)
毕业生 The Graduate,导演: 迈克·尼科尔斯 主演: 安妮·班克罗夫特 / 达斯汀·霍夫曼 / 凯瑟琳·罗斯 类型: 剧情 / 喜剧 / 爱情 制片国家/地区: 美国 年份: 1967,8.0,(166468人评价)
,,,
西鹤一代女 西鶴一代女,导演: 沟口健二 主演: 田中绢代 / 山根寿子 / 三船敏郎 类型: 剧情 制片国家/地区: 日本 年份: 1952,8.3,(5775人评价)
驱魔人 The Exorcist,导演: 威廉·弗莱德金 主演: 艾伦·伯斯汀 / 马克斯·冯·叙多夫 / 李·科布 类型: 恐怖 制片国家/地区: 美国 年份: 1973,7.6,(65639人评价)
禁忌 Tabu: A Story of the South Seas,导演: F·W·茂瑙 主演: Matahi / Anne Chevalier / 比尔·班布里奇 类型: 剧情 / 爱情 / 冒险 制片国家/地区: 美国 年份: 1931,8.0,(1265人评价)
德意志零年 Germania anno zero,导演: 罗伯托·罗西里尼 主演: 埃德蒙·默施克 / 恩斯特·皮茨肖 / 英格特劳德·欣策 类型: 剧情 / 战争 制片国家/地区: 意大利/法国/德国 年份: 1948,8.4,(5686人评价)
雌雄大盗 Bonnie and Clyde,导演: 阿瑟·佩恩 主演: 沃伦·比蒂 / 费·唐纳薇 / 迈克尔·波拉德 类型: 动作 / 传记 / 犯罪 制片国家/地区: 美国 年份: 1967,8.2,(41271人评价)
碧血金沙 The Treasure of the Sierra Madre,导演: 约翰·休斯顿 主演: 亨弗莱·鲍嘉 / 沃尔特·休斯顿 / 提姆·霍尔特 类型: 剧情 / 西部 / 冒险 制片国家/地区: 美国/墨西哥 年份: 1948,8.6,(7278人评价)
,,,
生命之树 The Tree of Life,导演: 泰伦斯·马力克 主演: 布拉德·皮特 / 西恩·潘 / 杰西卡·查斯坦 类型: 剧情 / 奇幻 / 家庭 制片国家/地区: 美国 年份: 2011,7.1,(41298人评价)
,,,
,,,
街角的商店 The Shop Around the Corner,导演: 恩斯特·刘别谦 主演: 玛格里特·苏利文 / 詹姆斯·斯图尔特 / 弗兰克·摩根 类型: 喜剧 / 爱情 / 剧情 制片国家/地区: 美国 年份: 1940,8.7,(9537人评价)
午后的迷惘 Meshes of the Afternoon,导演: 梅雅·黛伦 / 亚历山大·罕密德 主演: 梅雅·黛伦 / 亚历山大·罕密德 类型: 短片 制片国家/地区: 美国 年份: 1943,8.8,(12044人评价)
荒漠怪客 Johnny Guitar,导演: 尼古拉斯·雷 主演: 琼·克劳馥 / 斯特林·海登 / 梅赛德丝·麦坎布雷奇 类型: 剧情 / 西部 制片国家/地区: 美国 年份: 1954,7.9,(2479人评价)
,,,
,,,
,,,
不可饶恕 Unforgiven,导演: 克林特·伊斯特伍德 主演: 克林特·伊斯特伍德 / 吉恩·哈克曼 / 摩根·弗里曼 类型: 剧情 / 西部 制片国家/地区: 美国 年份: 1992,8.5,(62505人评价)
土拨鼠之日 Groundhog Day,导演: 哈罗德·雷米斯 主演: 比尔·默瑞 / 安迪·麦克道威尔 / 克里斯·艾略特 类型: 剧情 / 喜剧 / 爱情 / 奇幻 制片国家/地区: 美国 年份: 1993,8.6,(155061人评价)
,,,
蓝白红三部曲之红 Trois couleurs: Rouge,导演: 克日什托夫·基耶斯洛夫斯基 主演: 伊莲娜·雅各布 / 让-路易·特兰蒂尼昂 / 弗雷德里奎·费德 类型: 剧情 / 爱情 / 悬疑 制片国家/地区: 法国/波兰/瑞士 年份: 1994,8.7,(102047人评价)
操行零分 Zéro de conduite: Jeunes diables au collège,导演: 让·维果 主演: 让·达斯特 / Robert le Flon / Du Verron 类型: 喜剧 / 短片 / 剧情 制片国家/地区: 法国 年份: 1933,8.1,(5996人评价)
,,,
,,,
暖暖内含光 Eternal Sunshine of the Spotless Mind,导演: 米歇尔·贡德里 主演: 金·凯瑞 / 凯特·温丝莱特 / 伊利亚·伍德 类型: 剧情 / 爱情 / 科幻 制片国家/地区: 美国 年份: 2004,8.5,(220587人评价)
,,,
,,,
龙猫 となりのトトロ,导演: 宫崎骏 主演: 日高法子 / 坂本千夏 / 糸井重里 类型: 动画 / 奇幻 / 冒险 制片国家/地区: 日本 年份: 1988,9.2,(1110071人评价)
蓝白红三部曲之蓝 Trois couleurs: Bleu,导演: 克日什托夫·基耶斯洛夫斯基 主演: 朱丽叶·比诺什 / 贝努特·里格恩特 / 弗罗伦斯·派梅尔 类型: 剧情 / 爱情 / 音乐 制片国家/地区: 法国/波兰/瑞士 年份: 1993,8.5,(113989人评价)
浮云 浮雲,导演: 成濑巳喜男 主演: 高峰秀子 / 森雅之 / 冈田茉莉子 类型: 剧情 / 爱情 制片国家/地区: 日本 年份: 1955,8.6,(9149人评价)
光荣之路 Paths of Glory,导演: 斯坦利·库布里克 主演: 柯克·道格拉斯 / 拉尔夫·米克 / 阿道夫·门吉欧 类型: 剧情 / 战争 制片国家/地区: 美国 年份: 1957,9.1,(42963人评价)
,,,
,,,
,,,
,,,
,,,
,,,
谋杀绿脚趾 The Big Lebowski,导演: 乔尔·科恩 / 伊桑·科恩 主演: 杰夫·布里吉斯 / 约翰·古德曼 / 朱丽安·摩尔 类型: 喜剧 / 犯罪 制片国家/地区: 美国/英国 年份: 1998,7.7,(50633人评价)
,,,
蜘蛛巢城 蜘蛛巣城,导演: 黑泽明 主演: 三船敏郎 / 山田五十铃 / 志村乔 类型: 剧情 / 历史 制片国家/地区: 日本 年份: 1957,8.5,(24063人评价)
美女与野兽 La belle et la bête,导演: 让·科克托 / 雷内·克莱芒 主演: 让·马雷 / 朱赛特·黛 / 米拉·帕雷利 类型: 剧情 / 奇幻 / 爱情 制片国家/地区: 法国 年份: 1946,7.8,(3730人评价)
一个国家的诞生 The Birth of a Nation,导演: 大卫·格里菲斯 主演: 丽莲·吉许 / 梅·马什 / 亨利·B·沃斯奥 类型: 剧情 / 历史 / 爱情 / 战争 / 西部 制片国家/地区: 美国 年份: 1915,7.9,(8773人评价)
,,,
周末 Week End,导演: 让-吕克·戈达尔 主演: 米蕾叶·达尔克 / 让·雅南 / 琼-皮尔里·卡尔弗恩 类型: 喜剧 / 剧情 制片国家/地区: 法国/意大利 年份: 1967,8.0,(3809人评价)
兰闺艳血 In a Lonely Place,导演: 尼古拉斯·雷 主演: 亨弗莱·鲍嘉 / 格洛丽亚·格雷厄姆 / 弗兰克·洛夫乔伊 类型: 剧情 / 黑色电影 / 悬疑 / 爱情 / 惊悚 制片国家/地区: 美国 年份: 1950,8.0,(3127人评价)
,,,
凡尔杜先生 Monsieur Verdoux,导演: 查理·卓别林 主演: 查理·卓别林 / 马迪·科雷尔 / 艾莉森·罗丹 类型: 喜剧 / 犯罪 / 剧情 制片国家/地区: 美国 年份: 1947,8.8,(8128人评价)
,,,
马耳他之鹰 The Maltese Falcon,导演: 约翰·休斯顿 主演: 亨弗莱·鲍嘉 / 玛丽·阿斯特 / 格拉黛丝·乔治 类型: 犯罪 / 黑色电影 / 悬疑 制片国家/地区: 美国 年份: 1941,7.5,(12049人评价)
,,,
,,,
,,,
,,,
,,,
夜长梦多 The Big Sleep,导演: 霍华德·霍克斯 主演: 亨弗莱·鲍嘉 / 劳伦·白考尔 / 约翰·里德格利 类型: 犯罪 / 黑色电影 / 悬疑 / 惊悚 制片国家/地区: 美国 年份: 1946,7.3,(5135人评价)
,,,
爱的激流 Love Streams,导演: 约翰·卡萨维蒂 主演: 约翰·卡萨维蒂 / 吉娜·罗兰兹 / 西摩·卡塞尔 类型: 喜剧 / 剧情 制片国家/地区: 美国 年份: 1984,8.1,(3253人评价)
,,,
,,,
,,,
,,,
,,,
奥菲斯 Orphée,导演: 让·科克托 主演: 让·马雷 / 弗朗索瓦·佩里埃 / 玛丽亚·卡萨雷斯 类型: 奇幻 / 剧情 / 爱情 制片国家/地区: 法国 年份: 1950,8.3,(2124人评价)
费城故事 The Philadelphia Story,导演: 乔治·库克 主演: 加里·格兰特 / 凯瑟琳·赫本 / 詹姆斯·斯图尔特 类型: 喜剧 / 爱情 制片国家/地区: 美国 年份: 1940,7.5,(6884人评价)
,,,
,,,
录影带谋杀案 Videodrome,导演: 大卫·柯南伯格 主演: 詹姆斯·伍兹 / 索尼娅·史密茨 / 黛布拉·哈里 类型: 科幻 / 悬疑 / 惊悚 / 恐怖 制片国家/地区: 加拿大 年份: 1983,7.4,(7164人评价)
,,,
,,,
,,,
落水狗 Reservoir Dogs,导演: 昆汀·塔伦蒂诺 主演: 哈威·凯特尔 / 蒂姆·罗斯 / 迈克尔·马德森 类型: 惊悚 / 犯罪 制片国家/地区: 美国 年份: 1992,8.4,(180893人评价)
哈洛与慕德 Harold and Maude,导演: 哈尔·阿什贝 主演: 鲁思·戈登 / 巴德·库特 / 维维安·皮克尔斯 类型: 剧情 / 喜剧 制片国家/地区: 美国 年份: 1971,8.2,(6368人评价)
,,,
偷窥狂 Peeping Tom,导演: 迈克尔·鲍威尔 主演: 卡尔海因茨·伯姆 / 莫伊拉·希勒 / 安娜·玛西 类型: 剧情 / 犯罪 / 惊悚 制片国家/地区: 英国 年份: 1960,7.9,(6974人评价)
星球大战2：帝国反击战 Star Wars: Episode V - The Empire Strikes Back,导演: 厄文·克什纳 主演: 马克·哈米尔 / 哈里森·福特 / 凯丽·费雪 类型: 动作 / 冒险 / 科幻 制片国家/地区: 美国 年份: 1980,8.4,(91500人评价)
于洛先生的假期 Les vacances de Monsieur Hulot,导演: 雅克·塔蒂 主演: 雅克·塔蒂 / Nathalie Pascaud / 米舍利娜·罗拉 类型: 喜剧 制片国家/地区: 法国 年份: 1953,8.0,(7322人评价)
,,,
,,,
,,,
,,,
,,,
,,,
兰基先生的罪行 Le Crime de Monsieur Lange,导演: 让·雷诺阿 主演: René Lefèvre / 朱尔·贝里 / 弗洛雷勒 类型: 喜剧 / 犯罪 / 剧情 制片国家/地区: 法国 年份: 1936,7.2,(445人评价)
,,,
艳贼 Marnie,导演: 阿尔弗雷德·希区柯克 主演: 蒂比·海德莉 / 马丁·加贝尔 / 肖恩·康纳利 类型: 剧情 / 爱情 / 悬疑 制片国家/地区: 美国 年份: 1964,7.3,(16952人评价)
黑客帝国 The Matrix,导演: 莉莉·沃卓斯基 / 拉娜·沃卓斯基 主演: 基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯 类型: 动作 / 科幻 制片国家/地区: 美国 年份: 1999,9.1,(716342人评价)
怪形 The Thing,导演: 约翰·卡朋特 主演: 库尔特·拉塞尔 / 威尔福德·布利姆雷 / TK·卡特 类型: 科幻 / 悬疑 / 恐怖 制片国家/地区: 美国 年份: 1982,8.0,(41620人评价)
,,,
十月 Октябрь,导演: 格里高利·亚历山德罗夫 / 谢尔盖·爱森斯坦 主演: Nikolay Popov / Vasili Nikandrov / Layaschenko 类型: 剧情 / 历史 制片国家/地区: 苏联 年份: 1928,8.0,(1378人评价)
,,,
,,,
鲸鱼马戏团 Werckmeister harmóniák,导演: 贝拉·塔尔 / 阿尼亚斯·赫拉尼茨基 主演: 拉尔斯·鲁道夫 / 彼得·菲茨 / 汉娜·许古拉 类型: 剧情 / 悬疑 制片国家/地区: 匈牙利/意大利/德国/法国 年份: 2000,8.8,(9035人评价)
,,,
苦雨恋春风 Written on the Wind,导演: 道格拉斯·塞克 主演: 罗克·赫德森 / 劳伦·白考尔 / 罗伯特·斯塔克 类型: 剧情 / 爱情 制片国家/地区: 美国 年份: 1956,7.3,(1513人评价)
,,,
一夜风流 It Happened One Night,导演: 弗兰克·卡普拉 主演: 克拉克·盖博 / 克劳黛·考尔白 / 沃尔特·康诺利 类型: 喜剧 / 爱情 制片国家/地区: 美国 年份: 1934,8.8,(44396人评价)
,,,
,,,
寻子遇仙记 The Kid,导演: 查理·卓别林 主演: 查理·卓别林 / 卡尔米勒 / 艾德娜·珀薇安丝 类型: 剧情 / 喜剧 / 家庭 制片国家/地区: 美国 年份: 1921,9.2,(37514人评价)
热天午后 Dog Day Afternoon,导演: 西德尼·吕美特 主演: 阿尔·帕西诺 / 约翰·凯泽尔 / 查尔斯·德恩 类型: 剧情 / 喜剧 / 犯罪 制片国家/地区: 美国 年份: 1975,8.7,(75407人评价)
红色沙漠 Il deserto rosso,导演: 米开朗基罗·安东尼奥尼 主演: 莫尼卡·维蒂 / 理查德·哈里斯 / Carlo Chionetti 类型: 剧情 制片国家/地区: 意大利/法国 年份: 1964,8.0,(16291人评价)
侠女 俠女,导演: 胡金铨 主演: 徐枫 / 石隽 / 白鹰 类型: 剧情 / 动作 / 武侠 / 古装 制片国家/地区: 中国台湾/中国香港 年份: 1970,8.6,(21422人评价)
,,,
,,,
西区故事 West Side Story,导演: 杰罗姆·罗宾斯 / 罗伯特·怀斯 主演: 娜塔莉·伍德 / 理查德·贝梅尔 / 拉斯·坦布林 类型: 犯罪 / 剧情 / 歌舞 / 爱情 制片国家/地区: 美国 年份: 1961,7.6,(9019人评价)
,,,
,,,
,,,
回到未来 Back to the Future,导演: 罗伯特·泽米吉斯 主演: 迈克尔·J·福克斯 / 克里斯托弗·洛伊德 / 莉·汤普森 类型: 喜剧 / 科幻 / 冒险 制片国家/地区: 美国 年份: 1985,8.7,(177701人评价)
,,,
青山翠谷 How Green Was My Valley,导演: 约翰·福特 主演: 沃尔特·皮金 / 玛琳·奥哈拉 / 安娜·李 类型: 剧情 / 家庭 制片国家/地区: 美国 年份: 1941,8.3,(4461人评价)
,,,
白雪公主和七个小矮人 Snow White and the Seven Dwarfs,导演: 戴维·汉德 主演: 阿德里亚娜·卡塞洛蒂 / 罗伊·阿特威尔 / Stuart Buchanan 类型: 动画 / 家庭 / 奇幻 / 歌舞 / 爱情 制片国家/地区: 美国 年份: 1937,8.4,(105004人评价)
射杀钢琴师 Tirez sur le pianiste,导演: 弗朗索瓦·特吕弗 主演: 夏尔·阿兹纳夫 / 玛丽·杜布瓦 / 妮科尔·贝尔热 类型: 剧情 / 惊悚 / 爱情 / 犯罪 制片国家/地区: 法国 年份: 1960,7.9,(5292人评价)
,,,
如果 If....,导演: 林赛·安德森 主演: 马尔科姆·麦克道威尔 / 大卫·伍德 / 理查德·沃里克 类型: 剧情 制片国家/地区: 英国 年份: 1968,8.1,(4286人评价)
死吻 Kiss Me Deadly,导演: 罗伯特·奥尔德里奇 主演: 拉尔夫·米克 / 阿尔伯特·德科 / 保罗·斯图尔特 类型: 犯罪 / 剧情 / 黑色电影 / 惊悚 制片国家/地区: 美国 年份: 1955,7.0,(1957人评价)
,,,
阿飞正传 阿飛正傳,导演: 王家卫 主演: 张国荣 / 张曼玉 / 刘嘉玲 类型: 犯罪 / 剧情 / 爱情 制片国家/地区: 中国香港 年份: 1990,8.5,(437330人评价)
俄罗斯方舟 Русский ковчег,导演: 亚历山大·索科洛夫 主演: 谢尔盖·德雷登 / Mariya Kuznetsova / Valery Gergiev 类型: 剧情 / 奇幻 / 历史 制片国家/地区: 俄罗斯/德国/日本/加拿大/芬兰/丹麦 年份: 2002,7.6,(11207人评价)
,,,
,,,
绿光 Le rayon vert,导演: 埃里克·侯麦 主演: 玛丽·里维埃 / Amira Chemakhi / Sylvie Richez 类型: 剧情 / 爱情 制片国家/地区: 法国 年份: 1986,8.1,(26084人评价)
月球旅行记 Le voyage dans la lune,导演: 乔治·梅里爱 主演: 弗朗索瓦·拉勒芒 / 朱勒-尤金·乐可利 / 维克多·安德烈 类型: 喜剧 / 动作 / 科幻 / 奇幻 / 冒险 / 短片 制片国家/地区: 法国 年份: 1902,9.1,(36406人评价)
,,,
金玉盟 An Affair to Remember,导演: 莱奥·麦卡雷 主演: 加里·格兰特 / 黛博拉·蔻儿 / 理查德·邓宁 类型: 喜剧 / 剧情 / 爱情 制片国家/地区: 美国 年份: 1957,8.2,(9276人评价)
,,,
,,,
桂河大桥 The Bridge on the River Kwai,导演: 大卫·里恩 主演: 威廉·霍尔登 / 亚历克·吉尼斯 / 杰克·霍金斯 类型: 剧情 / 历史 / 战争 制片国家/地区: 英国/美国 年份: 1957,8.4,(22072人评价)
,,,
摇滚万万岁 This Is Spinal Tap,导演: 罗伯·莱纳 主演: 罗伯·莱纳 / 迈克尔·麦基恩 / 克里斯托弗·格斯特 类型: 喜剧 / 音乐 制片国家/地区: 美国 年份: 1984,7.5,(3205人评价)
,,,
,,,
怪房客 Le locataire,导演: 罗曼·波兰斯基 主演: 罗曼·波兰斯基 / 伊莎贝尔·阿佳妮 / 茂文·道格拉斯 类型: 剧情 / 惊悚 制片国家/地区: 法国 年份: 1976,7.9,(16706人评价)
五至七时的克莱奥 Cléo de 5 à 7,导演: 阿涅斯·瓦尔达 主演: 科琳娜·马尔尚 / 安托万·布尔塞耶 / 多米妮克·达夫雷 类型: 喜剧 / 剧情 / 音乐 制片国家/地区: 法国/意大利 年份: 1962,8.7,(17696人评价)
,,,
,,,
砂之女 砂の女,导演: 敕使河原宏 主演: 冈田英次 / 岸田今日子 / 三井弘次 类型: 剧情 制片国家/地区: 日本 年份: 1964,8.5,(9599人评价)
,,,
,,,
盗火线 Heat,导演: 迈克尔·曼 主演: 阿尔·帕西诺 / 罗伯特·德尼罗 / 方·基默 类型: 剧情 / 动作 / 犯罪 / 惊悚 制片国家/地区: 美国 年份: 1995,8.5,(104659人评价)
,,,
,,,
,,,
虎豹小霸王 Butch Cassidy and the Sundance Kid,导演: 乔治·罗伊·希尔 主演: 保罗·纽曼 / 罗伯特·雷德福 / 凯瑟琳·罗斯 类型: 冒险 / 犯罪 / 剧情 / 西部 制片国家/地区: 美国 年份: 1969,8.6,(17586人评价)
深锁春光一院愁 All That Heaven Allows,导演: 道格拉斯·塞克 主演: 简·怀曼 / 罗克·赫德森 / 阿格妮丝·摩尔海德 类型: 剧情 / 爱情 制片国家/地区: 美国 年份: 1955,7.5,(2531人评价)
用心棒,导演: 黑泽明 主演: 三船敏郎 / 仲代达矢 / 司叶子 类型: 剧情 / 动作 / 惊悚 制片国家/地区: 日本 年份: 1961,9.0,(38956人评价)
,,,
,,,
,,,
木屐树 L'albero degli zoccoli,导演: 埃曼诺·奥尔米 主演: Luigi Ornaghi / Francesca Moriggi / Omar Brignoli 类型: 剧情 / 历史 制片国家/地区: 意大利 年份: 1978,8.8,(2983人评价)
一个明星的诞生 A Star Is Born,导演: 乔治·库克 主演: 朱迪·加兰 / 詹姆斯·梅森 / 杰克·卡森 类型: 剧情 / 爱情 / 歌舞 制片国家/地区: 美国 年份: 1954,7.6,(1741人评价)
影子 Shadows,导演: 约翰·卡萨维蒂 主演: 本·卡鲁瑟斯 / 莱丽亚·古多尼 / 休·赫德 类型: 剧情 制片国家/地区: 美国 年份: 1958,7.7,(2001人评价)
,,,
天国与地狱 天国と地獄,导演: 黑泽明 主演: 三船敏郎 / 仲代达矢 / 香川京子 类型: 剧情 / 犯罪 制片国家/地区: 日本 年份: 1963,8.7,(12431人评价)
,,,
,,,
,,,
,,,
伊万的童年 Иваново детство,导演: 安德烈·塔可夫斯基 / 爱德华·阿巴洛夫 主演: 尼古拉·布尔里亚耶夫 / 瓦连京·祖布科夫 / 叶甫盖尼·扎里科夫 类型: 剧情 / 战争 制片国家/地区: 苏联 年份: 1962,8.8,(29398人评价)
火山边缘之恋 Stromboli,导演: 罗伯托·罗西里尼 主演: 英格丽·褒曼 / 马里奥·维塔莱 / 伦佐·切萨纳 类型: 剧情 制片国家/地区: 意大利/美国 年份: 1950,8.0,(2164人评价)
,,,
沉默的羔羊 The Silence of the Lambs,导演: 乔纳森·戴米 主演: 朱迪·福斯特 / 安东尼·霍普金斯 / 斯科特·格伦 类型: 剧情 / 犯罪 / 惊悚 制片国家/地区: 美国 年份: 1991,8.9,(753488人评价)
,,,
,,,
正午 High Noon,导演: 弗雷德·金尼曼 主演: 加里·库珀 / 格蕾丝·凯利 / 托马斯·米切尔 类型: 剧情 / 西部 制片国家/地区: 美国 年份: 1952,8.4,(20448人评价)
,,,
,,,
江湖浪子 The Hustler,导演: 罗伯特·罗森 主演: 保罗·纽曼 / 杰基·格利森 / 派珀·劳瑞 类型: 剧情 / 爱情 / 运动 制片国家/地区: 美国 年份: 1961,7.7,(2706人评价)
