mingcheng,neirong,pingfen,renshu
卡萨布兰卡 Casablanca,导演: 迈克尔·柯蒂兹 主演: 亨弗莱·鲍嘉 / 英格丽·褒曼 / 保罗·亨雷德 类型: 剧情 / 爱情 / 战争 制片国家/地区: 美国 年份: 1942,8.7,(198807人评价)
,,,
将军号 The General,导演: 巴斯特·基顿 / 克莱德·布鲁克曼 主演: 巴斯特·基顿 / 玛丽昂·马克 / 格伦·卡文德 类型: 剧情 / 喜剧 / 动作 / 战争 / 冒险 制片国家/地区: 美国 年份: 1926,9.1,(22662人评价)
,,,
日落大道 Sunset Blvd.,导演: 比利·怀尔德 主演: 威廉·霍尔登 / 葛洛丽亚·斯旺森 / 埃里克·冯·施特罗海姆 类型: 剧情 / 黑色电影 制片国家/地区: 美国 年份: 1950,8.8,(48989人评价)
银翼杀手 Blade Runner,导演: 雷德利·斯科特 主演: 哈里森·福特 / 鲁特格尔·哈尔 / 肖恩·杨 类型: 科幻 / 惊悚 制片国家/地区: 美国 年份: 1982,8.5,(213188人评价)
后窗 Rear Window,导演: 阿尔弗雷德·希区柯克 主演: 詹姆斯·斯图尔特 / 格蕾丝·凯利 / 温戴尔·柯瑞 类型: 悬疑 / 惊悚 制片国家/地区: 美国 年份: 1954,8.6,(157126人评价)
大幻影 La grande illusion,导演: 让·雷诺阿 主演: 让·迦本 / 迪塔·帕尔洛 / 皮埃尔·弗雷奈 类型: 剧情 / 战争 制片国家/地区: 法国 年份: 1937,8.4,(8934人评价)
猎人之夜 The Night of the Hunter,导演: 查尔斯·劳顿 主演: 罗伯特·米彻姆 / 谢利·温特斯 / 丽莲·吉许 类型: 犯罪 / 惊悚 / 黑色电影 制片国家/地区: 美国 年份: 1955,8.0,(7718人评价)
第三人 The Third Man,导演: 卡罗尔·里德 主演: 约瑟夫·科顿 / 阿莉达·瓦利 / 奥逊·威尔斯 类型: 黑色电影 / 悬疑 / 惊悚 制片国家/地区: 英国 年份: 1949,8.2,(19188人评价)
花样年华 花樣年華,导演: 王家卫 主演: 梁朝伟 / 张曼玉 / 潘迪华 类型: 剧情 / 爱情 制片国家/地区: 中国香港 年份: 2000,8.7,(508768人评价)
芬妮与亚历山大 Fanny och Alexander,导演: 英格玛·伯格曼 主演: 克里斯蒂娜·阿道夫森 / 伯杰·阿斯特 / 佩妮娜·奥威 类型: 剧情 制片国家/地区: 法国/瑞典/西德 年份: 1982,8.7,(16093人评价)
雨月物语 雨月物語,导演: 沟口健二 主演: 田中绢代 / 森雅之 / 小泽荣太郎 类型: 剧情 / 战争 / 奇幻 制片国家/地区: 日本 年份: 1953,8.6,(20411人评价)
摩登时代 Modern Times,导演: 查理·卓别林 主演: 查理·卓别林 / 宝莲·高黛 / 亨利·伯格曼 类型: 剧情 / 喜剧 / 爱情 制片国家/地区: 美国 年份: 1936,9.3,(254703人评价)
唐人街 Chinatown,导演: 罗曼·波兰斯基 主演: 杰克·尼科尔森 / 费·唐纳薇 / 约翰·休斯顿 类型: 犯罪 / 剧情 / 悬疑 / 惊悚 制片国家/地区: 美国 年份: 1974,8.4,(50849人评价)
玩乐时间 Play Time,导演: 雅克·塔蒂 主演: 雅克·塔蒂 / Barbara Dennek / France Rumilly 类型: 喜剧 制片国家/地区: 法国/意大利 年份: 1967,8.8,(18924人评价)
,,,
奇爱博士 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,导演: 斯坦利·库布里克 主演: 彼得·塞勒斯 / 乔治·C·斯科特 / 斯特林·海登 类型: 剧情 / 喜剧 / 战争 制片国家/地区: 美国/英国 年份: 1964,8.8,(80226人评价)
大都会 Metropolis,导演: 弗里茨·朗 主演: 阿弗莱德·阿贝尔 / 古斯塔夫·佛力施 / 布里吉特·赫尔姆 类型: 剧情 / 科幻 制片国家/地区: 德国 年份: 1927,9.1,(37315人评价)
桃色公寓 The Apartment,导演: 比利·怀尔德 主演: 杰克·莱蒙 / 雪莉·麦克雷恩 / 弗莱德·麦克莫瑞 类型: 爱情 / 喜剧 / 剧情 制片国家/地区: 美国 年份: 1960,8.8,(37336人评价)
,,,
天堂的孩子 Les enfants du paradis,导演: 马塞尔·卡尔内 主演: 阿莱蒂 / 让-路易斯·巴劳特 / 皮埃尔·布拉瑟 类型: 剧情 / 爱情 制片国家/地区: 法国 年份: 1945,8.6,(4725人评价)
,,,
西北偏北 North by Northwest,导演: 阿尔弗雷德·希区柯克 主演: 加里·格兰特 / 爱娃·玛丽·森特 / 詹姆斯·梅森 类型: 悬疑 / 惊悚 / 冒险 制片国家/地区: 美国 年份: 1959,8.3,(88197人评价)
,,,
赤胆屠龙 Rio Bravo,导演: 霍华德·霍克斯 主演: 约翰·韦恩 / 迪恩·马丁 / 瑞奇·尼尔森 类型: 剧情 / 喜剧 / 爱情 / 西部 制片国家/地区: 美国 年份: 1959,8.1,(3932人评价)
